feature,value
41880_at,0.0007334560303009
41881_at,0.002755586021952
41882_at,0.0098906909578852
41883_at,0.0012218847047693
41884_at,0.0012573815044997
41885_at,0.0007012129578564
41886_r_at,0.0006122538771454
41887_at,0.0017925440226309
41888_at,0.0011556922803657
41889_at,0.0011778826882965
41890_at,0.0008262642159031
41891_at,0.0005913605104481
41892_at,0.0006512964466537
41893_at,0.0013783936630963
41894_r_at,0.0006572013917186
41895_at,0.0007894024230832
41896_at,0.000930799018521
41897_at,0.0006677240956255
41898_at,0.0007873149099062
41899_at,0.0021534563384033
41900_at,0.0009346877297178
41901_at,0.000711101315607
41902_at,0.0010220358177213
41903_at,0.0009735865144412
41904_at,0.0006706604075618
41905_at,0.0009082654658667
41906_at,0.0034918157250151
41907_at,0.0007786890252497
41908_at,0.0008387788917174
41909_at,0.0006662709440108
41910_at,0.0007483978194033
41911_at,0.0008949184779006
41912_at,0.0069406606272804
41913_at,0.0006821314734661
41914_at,0.000680418922888
41915_at,0.000792797598639
41916_at,0.0010584909973863
41917_at,0.0003995587090407
41918_at,0.0007343600625618
41919_at,0.0009281426434832
41920_at,0.0005477171147359
41921_at,0.0009869337140595
41922_at,0.0005831235641413
41923_at,0.0010304846698422
41924_at,0.0005861392403598
41925_at,0.0008577877676553
41926_at,0.00076932769383
41927_at,0.0012739292460106
41928_at,0.00083633641395
41929_at,0.0017158639017038
41930_at,0.0008337001370248
41931_at,0.0008560261277423
41932_at,0.0008983945964922
41933_at,0.0006590694626782
41934_at,0.001848218479253
41935_i_at,0.0103803808052628
41936_r_at,0.0012402712297109
41937_at,0.0023824840040755
41938_at,0.0008012438194459
41939_at,0.0009717090281519
41940_at,0.0009022194382868
41941_r_at,0.0007618676351686
41942_at,0.0008031294152641
41943_at,0.0008127610797295
41944_at,0.0041663655810265
41945_at,0.0228758924370443
41946_at,0.00134233630591
41947_at,0.0005711963079979
41948_at,0.0006337438217949
41949_at,0.0007341589809276
41950_at,0.004241150954379
41951_at,0.0007180645782156
41952_r_at,0.0006711361311281
41953_at,0.0006969285440994
41954_at,0.0006450439751187
41955_r_at,0.0004775878340719
41956_at,0.0014675086301131
41957_i_at,0.0005935797859562
41958_r_at,0.0007350542817101
41959_at,0.0056746816674961
41960_at,0.001277127921876
41961_i_at,0.0006828398429347
41962_r_at,0.0009109551626713
41963_at,0.0008140000921769
41964_at,0.001594122871172
41965_at,0.0015348553010819
41966_at,0.001393897918635
41967_at,0.0007330241168707
41968_r_at,0.0005966306793661
41969_at,0.0005804640313461
41970_at,0.000522468261432
41971_at,0.0032157693371358
41972_at,0.0007713022722587
41973_at,0.0007263612884804
41974_at,0.0007108331293613
41975_at,0.0006646811056267
41976_at,0.0012788393058096
41977_at,0.0011013082573508
41978_at,0.0007920155865053
41979_r_at,0.0009253626986545
41980_at,0.0006539208308463
41981_at,0.0007225247897428
41982_at,0.0009786553078845
41983_at,0.0011788757120612
41984_at,0.0010711919581619
41985_at,0.0014030180778657
41986_at,0.0006953406377986
41987_at,0.00088500729594
41988_at,0.0006265953819781
41989_at,0.0006898910450657
41990_at,0.0007236758182076
41991_at,0.0006992432804424
41992_at,0.0006887621828096
41993_at,0.0007781410231362
41994_at,0.0009489321549533
41995_at,0.0007380688209867
41996_at,0.0007749927299315
41997_at,0.0007437089356987
41998_at,0.0007869373778286
41999_at,0.0010459609866863
42000_r_at,0.0010382282725207
42001_at,0.0007283619143593
42002_at,0.0013622799516192
42003_at,0.0009268462738581
42004_at,0.0010821290496514
42005_at,0.0096308955926251
42006_at,0.0012263970351367
42007_at,0.0058746822864672
42008_r_at,0.0005466873162875
42009_at,0.0006133098780521
42010_at,0.0006256612163287
42011_at,0.0007551434353888
42012_at,0.0009480450450313
42013_at,0.000748103396426
42014_at,0.0006723756514657
42015_at,0.0007598127282396
42016_at,0.0010592271122136
42017_at,0.0008978680032464
42018_at,0.0011462916756712
42019_at,0.0007502589412273
42020_at,0.0005164728054368
42021_at,0.001184292527634
42022_at,0.0009944586338375
42023_r_at,0.0006300271531524
42024_at,0.0006108896174533
42025_i_at,0.0060298511711042
42026_r_at,0.0003896258613408
42027_at,0.0012367905706713
42028_at,0.0011731340639158
42029_at,0.0138092069262797
42030_at,0.0008229857181172
42031_at,0.0008483405754049
42032_at,0.0007119637307294
42033_at,0.0007051478793405
42034_at,0.0009829998523301
42035_at,0.0007214839700144
42036_at,0.0008167465557206
42037_at,0.0004928189266726
42038_at,0.0008168353586628
42039_at,0.0015810124463711
42040_at,0.0006684377488037
42041_at,0.0007214361411524
42042_at,0.0007805437799371
42043_at,0.0008078391792515
42044_at,0.0010173031641845
42045_at,0.0008932502152383
42046_at,0.0031388377212673
42047_at,0.0008126364860352
42048_at,0.0040881640664967
42049_at,0.0006171583632875
42050_at,0.0006540315743075
42051_at,0.0006196889759192
42052_at,0.0007418579332728
42053_at,0.0008317593876727
42054_at,0.0005885378132871
42055_at,0.0012359934426242
42056_at,0.0010100436567584
42057_at,0.006095307113461
42058_at,0.0009920625861355
42059_at,0.0009142819084193
42060_at,0.0008759540614792
42061_r_at,0.0010295343736432
42062_at,0.0007145861842043
42063_at,0.0071102486584559
42064_at,0.0006741783592715
42065_at,0.000736440151422
42066_r_at,0.0012574833628191
42067_at,0.0014345883753837
42068_at,0.0012754355133865
42069_at,0.001404103896398
42070_i_at,0.0004873105572643
42071_r_at,0.0005659707555006
42072_at,0.0006264993846411
42073_at,0.0008187817803035
42074_at,0.0006808152304807
42075_at,0.0004790882524697
42076_at,0.0007595404444512
42077_at,0.0008692617209304
42078_at,0.0006842615156578
42079_at,0.0005475052353665
42080_at,0.0008221708267839
42081_at,0.0008035860085118
42082_at,0.0010150037479486
42083_at,0.0004132572572346
42084_r_at,0.0006052298516532
42085_at,0.0008995018112056
42086_at,0.0010535074312661
42087_at,0.0037976194360788
42088_at,0.0013178260917853
42089_at,0.0009654579963087
42090_at,0.000965816654696
