feature,value
1007_s_at,0.0002622621789099
1053_at,0.0002519443844943
117_at,0.0004578975053693
121_at,0.00139074372355
1255_g_at,0.0003827768688776
1294_at,0.000409247944501
1316_at,0.0001885906749962
1320_at,0.0002922386443062
1405_i_at,0.000379154920878
1431_at,0.0002482414595608
1438_at,0.000285802463332
1487_at,0.0003515883618426
1494_f_at,0.0010681262894401
1552256_a_at,0.0004353958616006
1552257_a_at,0.0002567028231935
1552258_at,0.0003828091249799
1552261_at,0.000428864209919
1552263_at,0.0003612787918576
1552264_a_at,0.000393282024683
1552266_at,0.0003373578936291
1552269_at,0.0004369786903711
1552271_at,0.0002887818285583
1552272_a_at,0.0002143805853101
1552274_at,0.0003296466113996
1552275_s_at,0.000553705096549
1552276_a_at,0.0002165383208977
1552277_a_at,0.0012551239881203
1552278_a_at,0.0001957312857617
1552279_a_at,0.0004681918586525
1552280_at,0.000336173952052
1552281_at,0.0003398247028681
1552283_s_at,0.0001977499028672
1552286_at,0.00034356935282
1552287_s_at,0.0002505298774633
1552288_at,0.0002995414463227
1552289_a_at,0.0002462260894081
1552291_at,0.0002160586539084
1552293_at,0.0002927155260091
1552295_a_at,0.0031440184488306
1552296_at,0.0003400273845623
1552299_at,0.0003163188059438
1552301_a_at,0.0003072922593119
1552302_at,0.0003290751402425
1552303_a_at,0.00024280638166
1552304_at,0.0003503906189205
1552306_at,0.0002239633538376
1552307_a_at,0.0001236955829576
1552309_a_at,0.0003561681489845
1552310_at,0.0004297601568343
1552311_a_at,0.0003922485350006
1552312_a_at,0.0002821138477168
1552314_a_at,0.0002541572845697
1552315_at,0.0005041357356276
1552316_a_at,0.0005082509947219
1552318_at,0.0015480348073693
1552319_a_at,0.0002930835520902
1552320_a_at,0.0002249149585905
1552321_a_at,0.0004944992565202
1552322_at,0.0007820268063314
1552323_s_at,0.0002869173519638
1552325_at,0.0008656668389008
1552326_a_at,0.0001468135644255
1552327_at,0.0002751014795749
1552329_at,0.0002147859530747
1552330_at,0.0002862500078562
1552332_at,0.0002835054809959
1552334_at,0.0004699632258519
1552335_at,0.0002836828846516
1552337_s_at,0.0001703526959544
1552338_at,0.0003212583578307
1552340_at,0.0003926265590675
1552343_s_at,0.0053281533682181
1552344_s_at,0.0002516827454528
1552347_at,0.0002235245442377
1552348_at,0.000960314360482
1552349_a_at,0.0003608396005398
1552354_at,0.0004347074124533
1552355_s_at,0.0003894787170694
1552359_at,0.0003774747868921
1552360_a_at,0.000396477963897
1552362_a_at,0.0002922935766689
1552364_s_at,0.0004618107122322
1552365_at,0.000430061373063
1552367_a_at,0.0004427747190451
1552368_at,0.0003351055512317
1552370_at,0.0003720132189197
1552372_at,0.0004077216126043
1552373_s_at,0.0002151984427623
1552375_at,0.0003123555681078
1552377_s_at,0.0002601048860901
1552378_s_at,0.0004216198938394
1552379_at,0.0003731968876864
1552381_at,0.0003276389528163
1552383_at,0.0003250829167355
1552384_a_at,0.0002123711724013
1552386_at,0.0003342507274821
1552388_at,0.0263331624229206
1552389_at,0.0003359236649632
1552390_a_at,0.0003158769100813
1552391_at,0.0003088892944036
1552393_at,0.0001793129165146
1552394_a_at,0.0002725000444355
1552395_at,0.0002993468356567
1552396_at,0.0002969109340013
1552398_a_at,0.0003107815951849
1552399_a_at,0.0003327752981664
1552400_a_at,0.000377706750785
1552401_a_at,0.0003396258027149
1552402_at,0.0003712860554501
1552405_at,0.0003687285061012
1552408_at,0.0002063664943557
1552409_a_at,0.0003328790294397
1552410_at,0.0002541706606848
1552411_at,0.0002899252980738
1552412_a_at,0.0001926679284262
1552414_at,0.000455563323914
1552415_a_at,0.0004363063087203
1552417_a_at,0.0002660741787902
1552418_at,0.0003855306707389
1552419_s_at,0.0002913662569661
1552421_a_at,0.0002784236227113
1552422_at,0.0001627615548676
1552423_at,0.0003010997763841
1552424_at,0.0001878915195606
1552425_a_at,0.0002853583674702
1552426_a_at,0.0003544856854552
1552427_at,0.0002801241216611
1552430_at,0.0002656230078331
1552432_at,0.0003981212239066
1552436_a_at,0.0002169227066819
1552438_a_at,0.0002091462425212
1552439_s_at,0.000313332518348
1552440_at,0.0014994670428679
1552445_a_at,0.0003495743852461
1552448_a_at,0.000282939805616
