feature,value
11715100_at,0.0002728477983599
11715101_s_at,0.0009589748219919
11715102_x_at,0.0010204468629843
11715103_x_at,0.0006596207211962
11715104_s_at,0.1288929165898284
11715105_at,0.0006102561250475
11715106_x_at,0.0007504183976034
11715107_s_at,0.0007595383926475
11715108_x_at,0.0006610990835597
11715109_at,0.0003631484949618
11715110_at,0.0008278996633658
11715111_s_at,0.0011781105016849
11715112_at,0.000583527361937
11715113_x_at,0.0012033309203884
11715114_x_at,0.0010948017578411
11715115_s_at,0.0010051314935362
11715116_s_at,0.0007541410987649
11715117_x_at,0.0004624734860598
11715118_s_at,0.0003076885639375
11715119_s_at,0.0004967775356368
11715120_s_at,0.0009432318243513
11715121_s_at,0.0004887645053664
11715122_at,0.0009585092732224
11715123_s_at,0.0006776698089599
11715124_s_at,0.0006898556783491
11715125_at,0.0003471101078345
11715126_s_at,0.0013839978646631
11715127_s_at,0.0007931567053574
11715128_s_at,0.0006494726444476
11715129_s_at,0.0005994518969054
11715130_s_at,0.0004443570086382
11715131_s_at,0.0009620096464807
11715132_x_at,0.000959488345571
11715133_s_at,0.000750037514607
11715134_s_at,0.0009293216986275
11715135_s_at,0.0007545038379625
11715136_at,0.0008753607619501
11715137_s_at,0.0006896087925988
11715138_s_at,0.0005614871299874
11715139_x_at,0.00080206538076
11715140_s_at,0.000815487702464
11715141_s_at,0.0008867776945545
11715142_s_at,0.0004550469348691
11715143_s_at,0.0007102503641038
11715144_s_at,0.0010189402189076
11715145_s_at,0.0008822051718952
11715146_x_at,0.0011710577840258
11715147_at,0.0005633607340023
11715148_s_at,0.0006409285154486
11715149_x_at,0.0011633320333007
11715150_s_at,0.0010003660193507
11715151_x_at,0.0004747091646393
11715152_at,0.0008607456274258
11715153_s_at,0.0008686597934183
11715154_s_at,0.0010298236690384
11715155_s_at,0.0007770123053321
11715156_s_at,0.0004965637761207
11715157_s_at,0.0008085995168652
11715158_s_at,0.0007300487589631
11715159_at,0.0007419453253946
11715160_x_at,0.0007048535992692
11715161_s_at,0.0004344566982866
11715162_s_at,0.0009800672383081
11715163_s_at,0.0006479525694989
11715164_s_at,0.0009444865089112
